form	lemma	POS	morph
༄༅། །		PUNCT
ཚིམ་པ་	ཚིམ་པ་	VERB
དྲུག་	དྲུག་	NUM
ལྡན་	ལྡན་	VERB
ཚོགས་	ཚོགས་	NOUN
ཀྱི་	གི་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
འི་	གི་	PART
གླུ་	གླུ་	NOUN
གནས་	གནས་	NOUN
གསུམ་	གསུམ་	NUM
ཌཱ་ཀི་	ཌཱ་ཀི་	NOUN
དགྱེས་པ་	དགྱེས་པ་	VERB
འི་	གི་	PART
ཏཾ་		NON_WORD
བུ་	བུ་	NOUN
ར་	ར་	ADP
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
། །		PUNCT
དུས་གསུམ་	དུས་གསུམ་	OTHER
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
འདུས་པ་	འདུས་པ་	VERB
ཡི་	གི་	PART
ངོ་བོ་	ངོ་བོ་	NOUN
། །		PUNCT
རིགས་	རིགས་	NOUN
དང་	དང་	NO_POS
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
འི་	གི་	PART
ཁྱབ་བདག་	ཁྱབ་བདག་	OTHER
ཏུ་	ལ་	PART
བཞུགས་པ་	བཞུགས་པ་	VERB
། །		PUNCT
སྨིན་གྲོལ་	སྨིན་གྲོལ་	NOUN
གདམས་པ་	གདམས་པ་	VERB
འི་	གི་	PART
བདུད་རྩི་	བདུད་རྩི་	NOUN
འི་	གི་	PART
བཀའ་དྲིན་	བཀའ་དྲིན་	NOUN
གྱིས་	གིས་	PART
སྐྱོང་བ་	སྐྱོང་བ་	VERB
འི་	གི་	PART
། །		PUNCT
དྲིན་ཅན་	དྲིན་ཅན་	ADJ
རྩ་བ་	རྩ་བ་	NOUN
འི་	གི་	PART
བླ་མ་	བླ་མ་	NOUN
སྙིང་	སྙིང་	NOUN
དབུ་	དབུ་	NOUN
ན་	ནས་	PART
དྲན་	དྲན་	VERB
ནོ་	གོ་	PART
།་་་་་		PUNCT
ཤླཽ་ཀ་	ཤླཽ་ཀ་	NO_POS
གཅིག་པོ་	གཅིག་པོ་	NUM
འདི་	འདི་	DET
སྤྲུལ་སྐུ་	སྤྲུལ་སྐུ་	NOUN
ཀུན་དགའ་	ཀུན་དགའ་	PROPN
རྒྱལ་མཚན་	རྒྱལ་མཚན་	NOUN
གྱིས་	གིས་	PART
སྦྱར་	སྦྱར་	VERB
མཛད་པ་	མཛད་པ་	VERB
འོ་	གོ་	PART
། །		PUNCT
བདེ་སྟོང་	བདེ་སྟོང་	NOUN
ཟུང་	ཟུང་	VERB
དུ་	ལ་	PART
འཇུག་པ་	འཇུག་པ་	VERB
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
ཀྱི་	གི་	PART
རང་གཟུགས་	རང་གཟུགས་	OTHER
། །		PUNCT
དེང་	དེང་	ADV
འདི་	འདི་	DET
ར་	ལ་	PART
ཚོགས་	ཚོགས་	NOUN
ཀྱི་	གི་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
འི་	གི་	PART
མཆོད་	མཆོད་	VERB
ཡུལ་	ཡུལ་	NOUN
དུ་	ལ་	PART
ཤར་བ་	ཤར་བ་	VERB
འི་	གི་	PART
། །		PUNCT
བླ་མ་	བླ་མ་	NOUN
ཡི་དམ་	ཡི་དམ་	NOUN
དཔའ་བོ་	དཔའ་བོ་	NOUN
ཌཱ་	ཌཱ་	NO_POS
ཀཱི་		NON_WORD
ཡི་	གི་	PART
ཚོགས་	ཚོགས་	NOUN
བཅའ་	བཅའ་	VERB
། །		PUNCT
གཞོམ་	གཞོམ་	NO_POS
མེད་	མེད་	VERB
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
གླུ་	གླུ་	NOUN
ཡི་	གི་	PART
རང་	རང་	PRON
སྒྲ་	སྒྲ་	NOUN
ལ་	ལ་	PART
གསོན་	གསོན་	VERB
ཅིག་	ཅིག་	PART
།		PUNCT
ཨ་ཧོ་	ཨ་ཧོ་	NO_POS
སྔོན་བསགས་	སྔོན་བསགས་	OTHER
བསོད་ནམས་	བསོད་ནམས་	NOUN
ལེགས་སྨོན་	ལེགས་སྨོན་	OTHER
གྱི་	གི་	PART
མཐུ་	མཐུ་	NOUN
ཡི་	གིས་	PART
། །		PUNCT
ཨ་མ་	ཨ་མ་	NOUN
བདག་མེད་	བདག་མེད་	ADJ
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
འི་	གི་	PART
ཞལ་རྒྱུན་	ཞལ་རྒྱུན་	OTHER
གྱི་	གི་	PART
བདུད་རྩི་	བདུད་རྩི་	NOUN
། །		PUNCT
དཔལ་ལྡན་	དཔལ་ལྡན་	ADJ
ས་སྐྱ་	ས་སྐྱ་	PROPN
འི་	གི་	PART
བླ་ཆེན་	བླ་ཆེན་	PROPN
ཐུགས་	ཐུགས་	NOUN
བཅུད་	བཅུད་	NOUN
དུ་	ལ་	PART
བཟུང་བ་	བཟུང་བ་	VERB
། །		PUNCT
རྣམ་དཀར་	རྣམ་དཀར་	ADJ
ལས་འཕྲོ་	ལས་འཕྲོ་	NOUN
སད་པ་	སད་པ་	VERB
འི་	གི་	PART
མགྲིན་པ་	མགྲིན་པ་	NOUN
རུ་	ལ་	PART
མྱང་	མྱང་	VERB
བྱུང་	བྱུང་	VERB
། །		PUNCT
ཟབ་	ཟབ་	VERB
ཟབ་	ཟབ་	VERB
གདམས་པ་	གདམས་པ་	VERB
འི་	གི་	PART
བཅུད་	བཅུད་	NOUN
ཀྱིས་	གིས་	PART
བདག་	བདག་	PRON
ཡིད་	ཡིད་	NOUN
ནི་	ནི་	NO_POS
ཚིམ་པ་	ཚིམ་པ་	VERB
ས་	གིས་	PART
། །		PUNCT
